collection,collection_synapse_id,file_synapse_id,web_file_name,version_number,web_modified_on,local_status,match_method,local_path,local_name,case_count,nii_gz_count,modalities,local_size_bytes,local_size_human,notes
BraTS-MEN-RT,syn59059779,syn59808907,CITATION.bib,1,2025-06-24T16:35:59.119Z,matched,md5_renamed,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATION(1).bib,CITATION(1).bib,,,none,1414,1.38 KiB,local name changed by duplicate filename handling
BraTS-MEN-RT,syn59059779,syn65415290,Meningioma radiotherapy supplementary clinical data and imaging parameters for training and validation sets.xlsx,2,2025-12-15T17:21:59.596Z,matched,md5_renamed,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/Meningioma radiotherapy supplementary clinical data and imaging parameters for training and validation sets v2.xlsx,Meningioma radiotherapy supplementary clinical data and imaging parameters for training and validation sets v2.xlsx,,,none,91390,89.25 KiB,local filename includes v2 but MD5 matches Synapse manifest
BraTS-MET,syn68156869,syn59808910,CITATION.bib,1,2025-06-05T21:35:26.312Z,matched,md5_renamed,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATION(3).bib,CITATION(3).bib,,,none,1983,1.94 KiB,local name changed by duplicate filename handling
BraTS-MET,syn68156869,syn68156870,README.md,1,2025-06-05T21:34:50.305Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/README.md,README.md,,,none,175,175 B,shared identical README for GoAT MET PED Path and SSA
BraTS-PED,syn68156871,syn59808912,CITATION.bib,1,2025-06-05T21:39:32.584Z,matched,md5_renamed,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATION(2).bib,CITATION(2).bib,,,none,1715,1.67 KiB,local name changed by duplicate filename handling
BraTS-PED,syn68156871,syn68156872,README.md,1,2025-06-05T21:39:16.084Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/README.md,README.md,,,none,175,175 B,shared identical README for GoAT MET PED Path and SSA
BraTS-Path,syn59761935,syn59808915,CITATION.bib,1,2024-05-22T22:45:33.247Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATION.bib,CITATION.bib,,,none,692,692 B,shared identical citation for Path and SSA
BraTS-Path,syn59761935,syn68156853,README.md,1,2025-06-05T21:18:09.803Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/README.md,README.md,,,none,175,175 B,shared identical README for GoAT MET PED Path and SSA
BraTS-SSA,syn59059780,syn59808916,CITATION.bib,1,2025-06-05T21:18:42.738Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATION.bib,CITATION.bib,,,none,692,692 B,shared identical citation for Path and SSA
BraTS-SSA,syn59059780,syn68156788,README.md,1,2025-06-05T20:47:27.530Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/README.md,README.md,,,none,175,175 B,shared identical README for GoAT MET PED Path and SSA
MLCube Resources,syn61956466,syn61987893,BraTS-GLI-2024-fastlane.tar.gz,2,2024-08-09T09:28:21.079Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS-GLI-2024-fastlane.tar.gz,BraTS-GLI-2024-fastlane.tar.gz,,,none,83589441,79.72 MiB,
MLCube Resources,syn61956466,syn61956214,BraTS-MEN-RT-fastlane.tar.gz,1,2024-08-03T21:36:05.009Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS-MEN-RT-fastlane.tar.gz,BraTS-MEN-RT-fastlane.tar.gz,,,none,37417008,35.68 MiB,
MLCube Resources,syn61956466,syn61956215,BraTS-Path-fastlane.tar.gz,1,2024-08-03T21:36:29.284Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS-Path-fastlane.tar.gz,BraTS-Path-fastlane.tar.gz,,,none,1754802,1.67 MiB,
MLCube Resources,syn61956466,syn61956504,BraTS2024-compat-test-mlcubes.tar.gz,5,2024-08-12T19:17:21.067Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS2024-compat-test-mlcubes.tar.gz,BraTS2024-compat-test-mlcubes.tar.gz,,,none,5641,5.51 KiB,
